Cекс по телефону,Анилингус вам (мужчине),Анилингус мне (даме),Бандаж,Виртуальный секс,Госпожа,Золотой дождь вам (мужчине),Золотой дождь мне (даме),Игрушки,Игры,Клизма,Копро вам (мужчине),Куннилингус,Легкая доминация,Легкое подчинение,Лесби откровенное,Лесби-шоу легкое,Массаж классический,Массаж профессиональный,Массаж расслабляющий,Массаж урологический,Массаж эротический,Минет без резинки,Минет в машине,Минет в презервативе,Минет глубокий,Окончание в рот,Окончание на грудь,Окончание на лицо,Порка,Рабыня,Ролевые игры,Секс анальный,Секс групповой,Секс классический,Секс лесбийский,Страпон,Стриптиз не профи,Стриптиз профи,Трамплинг,Услуги семейной паре,Фетиш,Фингеринг,Фистинг анальный мне (даме),Фистинг анальный мужчине,Фистинг классический,Фото/видео съемка,Эскорт,Id
No,Comment,Yes,Yes,No,Yes,Yes,Comment,Comment,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,No,Yes,No,Yes,Yes,Comment,Comment,Comment,Yes,Comment,Comment,Yes,No,No,Comment,Yes,No,Comment,Yes,Comment,No,No,255927
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Comment,No,Yes,No,Comment,Yes,No,No,Comment,Yes,No,No,No,No,Comment,No,174177
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,317494
No,Comment,Yes,No,No,No,Comment,No,Comment,Comment,Comment,No,Yes,Comment,Comment,Comment,Yes,Comment,No,Yes,Comment,Yes,Comment,No,Yes,Comment,Comment,Yes,No,Comment,No,Comment,Comment,Comment,Yes,Comment,Comment,Yes,No,No,Comment,Comment,No,Comment,Comment,Comment,No,No,313197
No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,325102
No,Comment,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Comment,Comment,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,No,Comment,Yes,No,Comment,No,Yes,No,Comment,Yes,Yes,No,Yes,No,No,Comment,No,No,No,Yes,No,No,Comment,307548
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,266934
No,No,Comment,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Yes,No,Comment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,318803
No,No,Yes,Yes,No,Yes,Comment,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Comment,Comment,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,No,Comment,Yes,No,No,Comment,Yes,Yes,Yes,Yes,Yes,No,Yes,308029
No,No,Yes,No,No,No,Yes,No,Comment,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Comment,Yes,Comment,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Comment,Yes,No,Yes,Comment,Yes,No,No,No,Yes,No,Yes,323789
No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Comment,Yes,Yes,No,No,No,Yes,Comment,Comment,Yes,Yes,Yes,Yes,No,Yes,Comment,Yes,Yes,No,Yes,Yes,Yes,Yes,311881
No,Comment,Yes,No,No,Comment,Comment,No,Comment,Comment,Comment,Comment,Yes,Comment,Comment,No,Yes,Yes,No,Yes,Comment,Yes,Comment,Yes,Yes,Yes,Comment,Yes,Comment,Comment,No,No,No,Comment,Yes,Comment,Comment,Yes,No,Comment,Comment,Comment,Comment,No,Comment,Comment,No,No,320164
Yes,No,No,No,No,Comment,Comment,No,Comment,Comment,No,No,No,Comment,No,No,Comment,Yes,No,Yes,No,No,Comment,Comment,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,Comment,Comment,Yes,Comment,Comment,No,No,No,Comment,No,No,No,No,No,No,Comment,288497
No,No,Yes,Comment,No,Comment,Comment,No,Comment,Comment,No,No,Yes,Comment,Comment,No,No,Comment,Comment,Yes,Comment,Comment,Comment,No,Yes,Yes,Comment,Yes,Yes,Comment,Comment,Comment,Comment,No,Yes,No,Comment,No,No,Comment,No,No,No,No,No,No,No,No,319880
Comment,No,Yes,No,No,Comment,Comment,No,No,Comment,No,No,Yes,Yes,Comment,Comment,Comment,Comment,No,Yes,Comment,Comment,Comment,No,Yes,No,Comment,Yes,No,Comment,No,Comment,No,Comment,Yes,No,Comment,No,No,No,No,Yes,No,No,Comment,Comment,No,No,309661
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,324455
No,No,No,No,No,No,No,No,No,Comment,No,No,Yes,Comment,Comment,No,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,No,Comment,Yes,Comment,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,Comment,No,Comment,No,No,No,No,No,Comment,312694
No,No,No,No,No,No,No,No,Comment,No,No,No,Yes,Comment,No,Comment,Comment,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,No,No,Comment,Comment,Comment,Yes,Comment,Comment,No,Yes,No,Comment,Comment,No,No,No,Comment,Comment,Comment,320420
Comment,No,No,No,No,No,Comment,No,Yes,Comment,No,No,Yes,Comment,No,No,No,No,No,Yes,Comment,Yes,Comment,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,No,324308
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,315532
No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,No,Yes,No,Comment,No,No,Yes,No,Yes,No,No,No,No,No,Yes,294904
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,323156
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Comment,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,309968
Comment,No,Yes,No,Comment,Comment,Comment,No,Comment,Comment,No,Comment,Comment,Yes,Yes,No,Yes,Yes,No,Yes,Comment,Yes,Comment,Comment,Yes,Yes,No,Yes,No,No,No,Comment,No,Comment,Yes,No,No,Yes,No,No,No,No,No,Comment,Comment,No,No,No,320099
No,Comment,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Comment,Yes,No,No,Yes,No,No,Yes,306680
No,Comment,Yes,No,No,No,Comment,No,Comment,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Comment,No,Comment,No,Yes,Yes,No,Yes,No,No,No,Comment,Comment,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,Comment,No,No,311418
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Comment,No,Yes,No,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Comment,257993
No,No,Comment,No,No,No,Comment,Comment,No,Comment,No,No,Comment,Comment,Comment,Comment,Comment,Comment,No,Comment,Comment,Comment,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Comment,No,Comment,Yes,No,No,Comment,No,Comment,No,Comment,No,No,Comment,Comment,No,Yes,324108
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,Comment,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Comment,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,No,300956
No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Comment,No,Yes,Yes,Comment,Yes,Comment,No,No,No,Comment,Comment,Yes,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,261543
Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,132784
Comment,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Comment,Comment,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Comment,Yes,304821
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Comment,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,No,311993
No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,No,Comment,Yes,Comment,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,312422
No,Yes,No,No,No,No,Comment,Comment,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Comment,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Comment,Comment,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,200665
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,147912
No,No,No,Comment,No,No,Comment,No,Yes,Comment,No,No,Yes,Comment,Comment,Comment,Comment,Yes,No,Yes,No,Comment,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Yes,Comment,Comment,Yes,Comment,Comment,Comment,No,Comment,Comment,Comment,Yes,No,No,Yes,No,Yes,321304
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,146741
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Comment,No,No,No,No,Comment,No,Comment,No,No,No,No,Comment,Comment,No,Comment,No,Comment,No,No,Comment,Comment,Yes,No,Comment,No,No,Comment,No,Comment,No,No,No,No,No,No,234500
No,No,Yes,No,No,No,No,No,No,Comment,No,No,Yes,No,Comment,No,No,Yes,No,Yes,No,Comment,Comment,No,Yes,Yes,Comment,Yes,No,No,No,Comment,No,No,Yes,No,No,Yes,No,No,No,Comment,No,No,No,No,No,Comment,323906
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,317558
No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Comment,No,Yes,No,Comment,Yes,No,No,Comment,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Comment,Yes,Yes,No,Yes,Comment,No,No,292686
No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Comment,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Comment,Comment,Yes,No,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,323152
Yes,No,Yes,Yes,Comment,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Yes,No,Yes,No,Yes,No,No,Comment,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,294786
No,No,Comment,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Comment,Comment,Comment,Comment,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,305254
Yes,No,Yes,Yes,Yes,Yes,Yes,No,Comment,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,Yes,Comment,No,Yes,No,No,Yes,No,Yes,No,Yes,Comment,Comment,Yes,Comment,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,317287
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,210811
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,202366
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,Comment,Yes,Yes,No,No,No,Comment,Comment,Yes,Comment,Comment,No,No,No,Comment,No,No,No,No,No,No,No,321538
No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,323702
No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,322941
No,Comment,Yes,No,No,Yes,No,No,Comment,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Comment,Comment,No,Yes,Yes,Comment,Yes,Yes,No,No,No,No,Comment,Yes,No,Comment,No,No,No,Comment,Yes,No,No,Comment,No,No,No,301861
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,324844
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,319709
No,No,Yes,No,Comment,No,No,No,No,Comment,No,No,Comment,No,Comment,No,No,No,No,Yes,No,Yes,Comment,Comment,Yes,Yes,No,Yes,No,Comment,No,Comment,No,Comment,Yes,No,No,No,No,No,No,Comment,No,No,No,Comment,Comment,Comment,291410
No,No,Comment,Comment,No,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,No,Comment,Comment,Yes,Comment,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Comment,No,Comment,No,Comment,No,Comment,Yes,Comment,Comment,No,No,Comment,No,Comment,No,No,Comment,No,No,No,321129
No,No,No,No,No,No,No,No,No,No,No,No,Comment,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,323064
No,No,No,No,No,No,Comment,No,Yes,Comment,No,No,Yes,Comment,No,Yes,No,Yes,No,Yes,No,Comment,Comment,No,Yes,Comment,No,Comment,No,No,No,Comment,No,Comment,Yes,No,Comment,No,No,No,No,Comment,No,No,No,No,Comment,No,294262
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Yes,Comment,Comment,Comment,No,No,No,Comment,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,323784
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Yes,Comment,No,No,Yes,Yes,Comment,Yes,Comment,Comment,Comment,No,Yes,No,No,Comment,Comment,Comment,No,Comment,No,No,Yes,No,Comment,Yes,No,No,No,Comment,No,No,No,No,No,Yes,253001
No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,297870
No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,Comment,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,183524
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,No,Comment,No,Yes,Comment,No,Yes,No,No,No,No,No,No,No,No,No,Yes,317219
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Comment,Yes,Comment,Yes,Yes,No,Comment,Yes,Yes,No,No,No,No,Comment,Yes,No,Comment,Yes,No,No,Comment,No,No,No,No,Comment,No,No,242796
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,297027
No,Comment,Yes,No,Comment,Comment,Comment,No,Comment,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,Comment,No,No,No,No,Yes,No,Comment,No,No,No,No,Comment,No,No,No,Comment,Comment,No,303312
No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,309404
No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Comment,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,277346
Comment,Yes,Yes,No,Comment,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,Yes,Comment,Comment,Yes,No,Comment,Yes,Yes,No,No,Yes,Comment,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Comment,No,No,302375
Yes,No,Yes,No,No,No,No,No,Comment,Comment,No,No,Yes,Yes,Yes,Comment,Yes,Yes,No,Yes,Yes,Yes,Comment,Yes,Yes,No,No,Yes,Yes,No,Comment,Comment,No,Comment,Yes,Comment,Comment,No,No,No,Comment,No,Yes,No,No,Comment,No,Yes,310543
No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Comment,Comment,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Comment,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,205107
No,No,Yes,No,No,No,Yes,No,Comment,No,No,No,Yes,Comment,No,No,Yes,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,Comment,No,Comment,Yes,No,Comment,Yes,No,Comment,No,Comment,No,No,No,No,No,Comment,323061
No,Comment,Yes,No,No,Yes,Comment,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Comment,Yes,Comment,Comment,Yes,Yes,Comment,Yes,No,No,No,No,No,Comment,Yes,No,Comment,Comment,No,No,No,Yes,No,Comment,Comment,Comment,No,No,261124
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Yes,Comment,No,No,No,Yes,No,Comment,Comment,Comment,Comment,Yes,Yes,Yes,No,Yes,No,No,No,Comment,No,No,Yes,No,Comment,No,No,No,Comment,No,No,No,No,No,No,No,260963
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,298953
No,Comment,No,No,No,Comment,No,No,Yes,Comment,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Comment,Comment,Comment,Yes,No,No,No,No,No,Comment,No,No,Comment,No,Comment,No,Yes,323009
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,317495
No,No,No,No,No,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,No,No,No,No,No,Yes,No,Comment,Comment,Comment,Yes,Comment,Comment,Comment,Comment,No,No,Comment,Comment,Comment,Yes,Comment,Comment,Comment,No,Comment,Comment,Comment,Comment,No,No,Comment,No,Comment,320118
No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Comment,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,309526
No,No,No,No,No,Comment,No,No,No,No,No,No,Comment,Comment,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,324103
No,No,No,No,No,No,Comment,No,Comment,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,Comment,Yes,No,No,No,No,Comment,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,211076
Comment,Comment,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Comment,Yes,Comment,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,Comment,Yes,Comment,No,No,Yes,Comment,No,Yes,No,Yes,Yes,No,No,Comment,Yes,Comment,No,Comment,Comment,No,No,313300
Comment,No,No,No,Comment,No,No,No,Comment,No,No,No,Comment,No,No,No,No,Yes,Comment,Comment,No,Comment,No,Comment,Yes,Comment,No,Comment,No,No,No,Comment,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,No,315434
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,306401
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,No,No,No,No,No,No,No,Comment,No,Yes,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,324745
No,No,No,No,No,No,No,No,No,No,No,No,Comment,No,No,No,No,Comment,No,No,No,No,Comment,No,Comment,No,No,Comment,No,No,No,Comment,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,Comment,262630
No,Comment,No,No,No,No,Yes,No,Comment,Comment,No,No,Yes,Comment,No,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Yes,Comment,Comment,Yes,Comment,Comment,Comment,No,Yes,No,Comment,No,No,No,Comment,Comment,No,258711
No,Comment,No,No,No,No,Yes,No,Yes,Comment,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Comment,No,Yes,No,No,Yes,No,No,No,Comment,No,No,Yes,No,No,No,No,Yes,No,Yes,Comment,No,No,Comment,No,No,245389
No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,311597
No,No,No,No,No,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,No,No,No,Comment,Yes,Comment,Comment,Comment,Comment,No,Yes,Comment,No,Comment,No,No,No,Comment,No,No,Yes,No,Comment,No,No,Comment,No,Comment,No,No,No,No,No,No,233623
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Comment,No,Yes,Yes,Comment,Yes,Comment,No,No,Yes,Comment,Comment,Yes,Comment,Yes,Yes,No,No,Comment,No,No,No,No,Yes,No,No,316913
No,No,Yes,No,No,No,Comment,No,No,Comment,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Comment,Yes,No,No,Yes,Yes,No,Yes,No,No,No,Comment,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,151589
No,Comment,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Comment,Comment,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Comment,Yes,Comment,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,169044
No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Comment,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,313773
No,Comment,No,No,No,No,Yes,Comment,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Yes,No,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,260153
Comment,No,Yes,Yes,Yes,Comment,Yes,No,Comment,Yes,Yes,Comment,Yes,Yes,Yes,No,Yes,No,No,No,Comment,No,No,No,Yes,No,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,Comment,No,No,Yes,No,Yes,Yes,No,Comment,Comment,Yes,No,96962
