Апартаменты-1 час,Апартаменты-2 часа,Апартаменты-Ночь,Выезд-1 час,Выезд-2 часа,Выезд-Ночь,Id,Комментарий к ценам
5 000 р.,10 000 р.,-,10 000 р.,35 000 р.,,293786,Для любителей нейтральной территории - знаю хорошие варианты почасовых отелей!👌
2 000 р.,4 000 р.,8 000 р.,,,,318156,Контактов в час: до 2.
7 000 р.,14 000 р.,-,-,15 000 р.,-,323722,Контактов в час: до 2.
6 000 р.,12 000 р.,30 000 р.,,,,251638,
3 000 р.,6 000 р.,-,-,-,-,311387,
3 500 р.,7 000 р.,15 000 р.,10 000 р.,20 000 р.,,324102,Контактов в час: до 2.После 23. 00 встречаюсь по двойному тарифу
6 000 р.,12 000 р.,-,20 000 р.,-,,242173,Контактов в час: неограничено.Цена за двоих
3 000 р.,5 000 р.,15 000 р.,,,,274268,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,323824,
4 000 р.,8 000 р.,25 000 р.,-,10 000 р.,-,318467,Контактов в час: неограничено.
6 000 р.,12 000 р.,35 000 р.,10 000 р.,15 000 р.,35 000 р.,147006,Угощу чаем и не только!) Уважаемые мужчины сохраняйте номер тел! Услуга все включено 10. 000т час(не для всех)!!!!!Уточняйте по телефону!)
3 000 р.,6 000 р.,20 000 р.,7 000 р.,20 000 р.,,323534,Контактов в час: до 2.
,,,3 000 р.,4 500 р.,8 000 р.,324573,
7 000 р.,14 000 р.,40 000 р.,15 000 р.,40 000 р.,,287639,Dinner date ( 3 часа 20. 000 р. )
12 000 р.,20 000 р.,-,12 000 р.,20 000 р.,-,208909,Контактов в час: неограничено.после 22х часов выезд от 25 тысяч
,,,3 000 р.,6 000 р.,12 000 р.,321884,Контактов в час: неограничено.Такси оплачивается вами отдельно. Выезд только в ближайшие ко мне города и районы.... При встречи от 3х часов(при вашем желании)кунилингус в подарок!!!Ночь-это 6 часов!!!
,,,12 000 р.,30 000 р.,,324657,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,3 000 р.,5 000 р.,10 000 р.,309192,Контактов в час: неограничено.Есть минет в АВТО!
2 000 р.,4 000 р.,10 000 р.,,,,313510,
15 000 р.,30 000 р.,80 000 р.,35 000 р.,85 000 р.,,177689,20 000 р.
5 000 р.,10 000 р.,25 000 р.,,,,299182,Контактов в час: до 2.Мои гости все доп услуги обсуждаю при личной встречи
7 000 р.,14 000 р.,30 000 р.,-,16 000 р.,33 000 р.,321409,"Контактов в час: неограничено.Выезд от 2 часиков, выгляжу всегда на высоте )"
1 500 р.,3 000 р.,8 000 р.,-,6 000 р.,12 000 р.,211323,
4 000 р.,8 000 р.,16 000 р.,-,10 000 р.,20 000 р.,272276,"Выезд по всей Москве, в ближайшее Подмосковье + такси"
,,,12 000 р.,-,,317791,Контактов в час: до 2.
3 000 р.,6 000 р.,20 000 р.,-,10 000 р.,30 000 р.,298780,
1 500 р.,3 000 р.,8 000 р.,,,,305752,
3 000 р.,6 000 р.,50 000 р.,10 000 р.,20 000 р.,-,256114,
,,,5 000 р.,7 000 р.,15 000 р.,296321,Контактов в час: неограничено.Выезд в Подмосковье от 2-х часов.
2 000 р.,4 000 р.,-,,,,315120,Контактов в час: до 2.
,,,3 500 р.,5 000 р.,9 000 р.,319690,
,,,3 000 р.,4 500 р.,8 000 р.,248236,
,,,-,5 000 р.,10 000 р.,308082,
3 000 р.,6 000 р.,18 000 р.,,,,163949,Контактов в час: до 2.
2 000 р.,3 500 р.,-,,,,322823,Контактов в час: неограничено.1 контакт до получаса 1500
2 500 р.,5 000 р.,12 500 р.,-,7 000 р.,17 500 р.,318429,Контактов в час: до 2.
4 000 р.,8 000 р.,-,6 000 р.,10 000 р.,-,322006,"Контактов в час: неограничено.Не дрефь, Капустин, отьебешь-отпустим)"
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,324592,Контактов в час: неограничено.
2 500 р.,5 000 р.,12 000 р.,,,,311389,Контактов в час: до 2.
2 500 р.,5 000 р.,-,,,,284178,"2000-экспресс, просто лингама 1500."
3 000 р.,5 000 р.,12 000 р.,,,,317871,
4 000 р.,8 000 р.,20 000 р.,,,,108197,
2 000 р.,4 000 р.,10 000 р.,5 000 р.,7 000 р.,15 000 р.,292340,Контактов в час: до 2.
,,,7 000 р.,10 000 р.,25 000 р.,296026,Действует гибкая система скидок ))
,,,4 000 р.,5 000 р.,7 500 р.,293210,
15 000 р.,25 000 р.,70 000 р.,-,25 000 р.,70 000 р.,192364,"Контактов в час: неограничено.Все включено !Не люблю себе ни в чем отказывать)При безналичной оплате на карту за час до встречи 1ч 12 тыс все включено После 23 часов ВСЕ встречи только по предоплате днём!!!! Ночные встречи по предварительной договорённости, после 23 с по предоплате на карту. .. Есть самый откровенный и развязный Вирт... и ЭТО только у меня)) Предупреждаю заранее что если мы с Вами ранее не встречались могу в некоторых случаях попросить предоплату на карту 5 т. Ценю и уважаю Ваше время и надеюсь это взаимно! Для любителей Вирта-есть новейшее сквирт видео!Вайбер вацап-пишите смс пришлю номер Скидок и экспресс -программ не бывает!Просьба стакими пожеланиями меня не беспокоить!!Если вы ищите более бюджетный вариант пришлите мне смс ия вам порекомендую кого то из своих хороших приятельниц"
12 000 р.,20 000 р.,75 000 р.,-,22 000 р.,75 000 р.,275691,Контактов в час: неограничено.
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,-,298647,
4 000 р.,8 000 р.,18 000 р.,-,11 000 р.,25 000 р.,277272,Контактов в час: неограничено.попа девственна поэтому анал только для умеющих и аккуратных))))
,,,-,7 000 р.,20 000 р.,322031,Контактов в час: неограничено.Только выезд!
,,,5 000 р.,8 000 р.,16 000 р.,308260,
3 000 р.,6 000 р.,-,-,7 000 р.,-,321143,
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,320282,
2 300 р.,4 600 р.,-,,,,309105,
4 500 р.,-,-,5 000 р.,8 000 р.,-,266686,Контактов в час: до 2.
2 500 р.,5 000 р.,18 000 р.,5 000 р.,8 000 р.,-,318704,
3 000 р.,6 000 р.,25 000 р.,-,10 000 р.,25 000 р.,311324,Контактов в час: до 2.
2 500 р.,5 000 р.,10 000 р.,3 000 р.,6 000 р.,12 000 р.,245199,Контактов в час: до 2.
,,,8 000 р.,16 000 р.,,315694,Контактов в час: неограничено.
5 000 р.,8 000 р.,-,-,10 000 р.,-,315644,"Контактов в час: неограничено.Мбр(минет без презерватива) с окончанием в ротик 👄 и на язычок 👅 И многое другое включено в прайс! Анилингус в обе стороны также включен! Поцелуйчики в губы, целуюсь со всеми желающими! Люблю дарить удовольствие и получаю его сама! При взаимной симпатии способна на большее, чем заявлено в анкете!) Имеется услуга ""Помой меня""))) могу помыть вас своими нежными шаловливыми ручками. Ну или вы меня))) Для любителей позабавиться возможно заменить игрушки на фрукты или овощи (банан, огурец и тд)🙈😁 Приветствую эксперименты! Выезд по центру без предоплаты! За МКАД и за ТТК выезжаю только с предоплатой! Очень молодовыгдящим просьба подтверждать возраст документом! Без обид!)"
,,,3 000 р.,4 500 р.,8 000 р.,316835,
2 000 р.,5 000 р.,15 000 р.,-,7 000 р.,18 000 р.,294311,
4 000 р.,8 000 р.,-,10 000 р.,-,,257950,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,5 000 р.,7 000 р.,15 000 р.,307449,Контактов в час: неограничено.
15 000 р.,30 000 р.,75 000 р.,15 000 р.,30 000 р.,75 000 р.,315183,
5 000 р.,10 000 р.,25 000 р.,10 000 р.,15 000 р.,35 000 р.,324554,Контактов в час: неограничено.Имеется оплата онлайн сбербанк
2 300 р.,4 600 р.,-,,,,291172,
4 000 р.,8 000 р.,16 000 р.,4 000 р.,8 000 р.,16 000 р.,323272,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,8 000 р.,324089,
12 000 р.,24 000 р.,70 000 р.,-,24 000 р.,70 000 р.,309534,
3 500 р.,7 000 р.,15 000 р.,-,10 000 р.,20 000 р.,316791,
,,,3 000 р.,4 000 р.,8 000 р.,248231,
4 000 р.,7 000 р.,25 000 р.,,,,319860,
2 000 р.,-,-,,,,318578,Контактов в час: 1.
,,,3 500 р.,5 000 р.,8 000 р.,324537,
5 000 р.,10 000 р.,35 000 р.,7 000 р.,12 000 р.,35 000 р.,318829,Контактов в час: неограничено.
6 000 р.,12 000 р.,30 000 р.,-,13 000 р.,31 000 р.,290353,Контактов в час: неограничено.
3 000 р.,6 000 р.,20 000 р.,,,,270563,Контактов в час: неограничено.
1 700 р.,3 400 р.,-,,,,323109,Контактов в час: до 2.Экспресс: 1000
3 000 р.,6 000 р.,20 000 р.,-,10 000 р.,-,308949,
5 000 р.,10 000 р.,-,20 000 р.,-,,289931,Контактов в час: неограничено.Все включено
5 000 р.,10 000 р.,-,-,10 000 р.,-,299016,Контактов в час: неограничено.
5 000 р.,10 000 р.,20 000 р.,6 000 р.,11 000 р.,21 000 р.,320132,
2 500 р.,5 000 р.,13 000 р.,7 000 р.,7 000 р.,14 000 р.,318620,
5 000 р.,10 000 р.,25 000 р.,-,11 000 р.,26 000 р.,309459,Контактов в час: неограничено.
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,324589,Контактов в час: неограничено.
10 000 р.,20 000 р.,55 000 р.,10 000 р.,20 000 р.,55 000 р.,311242,"Контактов в час: неограничено.В БУДНИЕ ДНИ, ПРИ ОПЛАТЕ ДВУХ ЧАСОВ, ТРЕТИЙ В ПОДАРОК!))***все обсуждаем по телефону !)*"
-,-,-,-,6 000 р.,15 000 р.,324174,
5 000 р.,-,-,-,10 000 р.,30 000 р.,319991,
,,,8 000 р.,15 000 р.,37 000 р.,312000,Контактов в час: до 2.+такси
2 000 р.,4 000 р.,12 000 р.,,,,312570,
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,30 000 р.,136479,Контактов в час: неограничено.Все вопросы по телефону указанному в анкете.
10 000 р.,20 000 р.,50 000 р.,-,23 000 р.,53 000 р.,296015,Контактов в час: неограничено.
1 200 р.,2 400 р.,6 000 р.,,,,305986,Контактов в час: до 2.
2 500 р.,5 000 р.,9 000 р.,,,,320443,
5 000 р.,10 000 р.,25 000 р.,6 000 р.,12 000 р.,26 000 р.,323964,Контактов в час: до 2.
,,,3 500 р.,5 000 р.,8 000 р.,322212,
,,,-,7 000 р.,20 000 р.,241207,Контактов в час: до 2.выезд 2 часа плюс такси
2 500 р.,5 000 р.,-,,,,316955,Контактов в час: неограничено.
-,-,-,5 000 р.,7 000 р.,15 000 р.,320530,Контактов в час: неограничено.
8 000 р.,16 000 р.,32 000 р.,13 000 р.,17 000 р.,33 000 р.,323403,Контактов в час: до 2.Я с удовольствием приеду к вам в гости но такси оплачиваете Вы в обе стороны!!! За МКАД +2000!!!!Есть поцелуи в губы это дополнительная услуга по взаимной симпатии!!!Моим постоянным гостям цена -7000!!!
6 000 р.,12 000 р.,-,,,,317825,Контактов в час: до 2.
1 500 р.,3 000 р.,10 000 р.,,,,323600,
,,,3 000 р.,4 500 р.,8 000 р.,320106,
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,18 000 р.,311552,
3 000 р.,-,-,,,,323567,
2 500 р.,50 000 р.,12 000 р.,,,,319133,Контактов в час: до 2.
5 000 р.,10 000 р.,20 000 р.,-,15 000 р.,30 000 р.,318594,Контактов в час: до 2.
4 500 р.,9 000 р.,22 000 р.,10 000 р.,25 000 р.,,193651,Контактов в час: неограничено.Есть экспресс программа 3000р пол часа.
2 000 р.,4 000 р.,10 000 р.,-,8 000 р.,20 000 р.,63712,
5 000 р.,10 000 р.,25 000 р.,6 000 р.,10 000 р.,30 000 р.,244192,
4 000 р.,8 000 р.,-,,,,321864,
3 500 р.,7 000 р.,15 000 р.,-,10 000 р.,20 000 р.,324025,
1 500 р.,-,6 000 р.,,,,317905,
10 000 р.,20 000 р.,-,20 000 р.,60 000 р.,,314952,15 000 р.
1 500 р.,3 000 р.,8 000 р.,,,,204590,
2 500 р.,5 000 р.,-,,,,308783,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,,,,321615,
1 500 р.,3 000 р.,10 000 р.,,,,323078,Контактов в час: до 2.
10 000 р.,20 000 р.,-,10 000 р.,20 000 р.,-,283757,Контактов в час: неограничено.
8 000 р.,16 000 р.,40 000 р.,,,,322657,
6 000 р.,12 000 р.,30 000 р.,,,,322455,
,,,3 500 р.,4 500 р.,8 000 р.,308007,
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,-,234621,
2 500 р.,4 000 р.,10 000 р.,,,,217194,Контактов в час: до 2.
10 000 р.,18 000 р.,40 000 р.,12 000 р.,20 000 р.,60 000 р.,291797,У меня двор со шлагбаумом и парковкой))
4 000 р.,8 000 р.,25 000 р.,-,9 000 р.,25 000 р.,289983,
-,10 000 р.,-,-,10 000 р.,20 000 р.,283553,
3 000 р.,6 000 р.,-,-,8 000 р.,-,314059,
5 000 р.,12 000 р.,30 000 р.,-,15 000 р.,-,124001,Контактов в час: неограничено.Выезд:стоимость 2-х часов После 23. 00 двойной тариф!!!!
4 000 р.,9 000 р.,25 000 р.,15 000 р.,30 000 р.,,250237,Контактов в час: до 2.Все включено мрр+окончание+анал=10000р 1ч.
3 000 р.,6 000 р.,15 000 р.,-,7 000 р.,15 000 р.,122199,Контактов в час: до 2.Есть экспресса программа 2000руб
3 500 р.,7 000 р.,-,,,,288246,Контактов в час: неограничено.
,,,4 000 р.,6 000 р.,12 000 р.,308780,Контактов в час: неограничено.Можно договорится)
3 000 р.,6 000 р.,15 000 р.,,,,298457,Контактов в час: до 2.
3 000 р.,6 000 р.,14 000 р.,4 000 р.,7 000 р.,15 000 р.,311758,Контактов в час: 1.
3 000 р.,6 000 р.,15 000 р.,,,,228490,
4 000 р.,7 000 р.,18 000 р.,4 000 р.,7 000 р.,18 000 р.,323380,Контактов в час: неограничено.Полное соответствие фото !: В жизни я еще лучше ) Убедитесь при встрече !)
6 000 р.,12 000 р.,25 000 р.,12 000 р.,12 000 р.,27 000 р.,319772,"Контактов в час: неограничено.Контактов в час: неограничено. Контактов в час: неограничено. Неограниченно контактов в часик, люблю чтоб было побольше!! Минет без резиночки - включён Горловой минет с окончанием мне на личико - включён Окончание на лицо- включёно Окончание на тело- включёно Целуюсь по симпатии с язычком!!"
6 000 р.,-,-,-,-,-,191317,
3 000 р.,6 000 р.,12 000 р.,,,,193780,
3 000 р.,6 000 р.,12 000 р.,-,8 000 р.,15 000 р.,323506,
2 500 р.,5 000 р.,12 000 р.,,,,315611,Контактов в час: до 2.
7 000 р.,14 000 р.,-,-,15 000 р.,-,311198,
3 000 р.,6 000 р.,25 000 р.,-,10 000 р.,25 000 р.,311917,Контактов в час: до 2.встреча в машине ))))
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,285826,
10 000 р.,20 000 р.,50 000 р.,20 000 р.,-,,273023,-
,,,3 500 р.,4 500 р.,8 000 р.,324823,
3 000 р.,6 000 р.,-,,,,324855,Контактов в час: 1.
,,,-,5 000 р.,15 000 р.,299220,Контактов в час: неограничено.
3 000 р.,5 000 р.,16 000 р.,4 000 р.,6 000 р.,16 000 р.,269405,Контактов в час: неограничено.Экспресс две тысячи рублей. Секс по телефону четыреста рублей. Секс в вайбер тысяча рублей 10 минут. Многое включено 5000 рублей.
4 000 р.,8 000 р.,-,5 000 р.,-,-,266101,Контактов в час: неограничено.
4 500 р.,8 000 р.,20 000 р.,6 000 р.,10 000 р.,22 000 р.,305339,"Контактов в час: до 2.Свыше 4 ч, цена договорная, есть экспресс программа, автовстреча!"
6 000 р.,12 000 р.,25 000 р.,10 000 р.,15 000 р.,26 000 р.,281266,Контактов в час: до 2.О своих желаниях прошу предупреждать заранее.
2 000 р.,4 000 р.,10 000 р.,-,6 000 р.,12 000 р.,321827,
2 500 р.,5 000 р.,12 000 р.,-,-,-,320507,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,313472,Контактов в час: до 2.
3 500 р.,7 000 р.,18 000 р.,-,10 000 р.,18 000 р.,319437,
2 000 р.,4 000 р.,10 000 р.,-,8 000 р.,-,321067,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,20 000 р.,322453,
20 000 р.,-,-,40 000 р.,-,,116897,"шлите фото, молодым симпатичным обещаю приятные сюрпризы)"
,,,3 500 р.,5 000 р.,8 000 р.,314210,
2 000 р.,4 000 р.,12 000 р.,,,,322473,
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,319035,Контактов в час: неограничено.
5 000 р.,10 000 р.,18 000 р.,-,15 000 р.,25 000 р.,185132,"При 2 часовой встречи, мбр в подарок )"
10 000 р.,20 000 р.,55 000 р.,15 000 р.,22 000 р.,60 000 р.,314750,Контактов в час: до 2.При выезде за МКАД +5000
3 000 р.,6 000 р.,16 000 р.,,,,322526,Контактов в час: до 2.
6 000 р.,12 000 р.,30 000 р.,12 000 р.,30 000 р.,,311408,Контактов в час: неограничено.
-,-,-,30 000 р.,100 000 р.,,300360,Контактов в час: неограничено.
4 000 р.,8 000 р.,-,,,,255111,Контактов в час: неограничено.
12 000 р.,22 000 р.,60 000 р.,15 000 р.,25 000 р.,60 000 р.,322431,
3 000 р.,5 000 р.,15 000 р.,-,5 000 р.,15 000 р.,324461,Контактов в час: до 2.АНТИКРИЗИСНАЯ ЦЕНА В ДЕЙСТВИИ !
1 500 р.,3 000 р.,-,,,,323802,Контактов в час: до 2.30 минут - 1000!!!
,,,4 000 р.,6 000 р.,9 000 р.,282516,Контактов в час: неограничено.
2 500 р.,5 000 р.,-,,,,323708,Контактов в час: неограничено.
,,,20 000 р.,50 000 р.,,320344,Контактов в час: 1.
2 500 р.,5 000 р.,15 000 р.,,,,323263,Контактов в час: до 2.
6 000 р.,10 000 р.,-,8 000 р.,12 000 р.,-,289754,
2 000 р.,4 000 р.,-,,,,238849,
,,,-,7 000 р.,-,271399,Контактов в час: неограничено.
,,,4 000 р.,6 000 р.,10 000 р.,310807,
5 000 р.,12 000 р.,-,15 000 р.,20 000 р.,-,277314,Контактов в час: неограничено.
6 000 р.,12 000 р.,25 000 р.,6 000 р.,12 000 р.,25 000 р.,321489,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,-,15 000 р.,25 000 р.,308087,
5 000 р.,10 000 р.,20 000 р.,,,,308227,
,,,-,15 000 р.,30 000 р.,322123,Контактов в час: неограничено.
15 000 р.,30 000 р.,-,30 000 р.,-,,310263,Контактов в час: до 2.Выезд от двух часов. Плюс Оплата такси.
5 000 р.,10 000 р.,25 000 р.,10 000 р.,30 000 р.,,320861,Контактов в час: неограничено.
,,,-,9 500 р.,19 500 р.,309839,
8 000 р.,16 000 р.,-,-,16 000 р.,-,324246,МБР ВКЛЮЧЕНО ОВР ВКЛЮЧЕНО
,,,-,7 000 р.,15 000 р.,283900,
2 500 р.,5 000 р.,-,,,,176898,
5 000 р.,10 000 р.,25 000 р.,,,,317598,
2 500 р.,5 000 р.,15 000 р.,,,,319480,Контактов в час: до 2.
3 000 р.,6 000 р.,12 000 р.,-,10 000 р.,-,322859,Контактов в час: до 2.
,,,-,15 000 р.,-,323387,Контактов в час: неограничено.
6 000 р.,12 000 р.,30 000 р.,7 000 р.,14 000 р.,30 000 р.,319023,Контактов в час: до 2.
6 000 р.,10 000 р.,-,15 000 р.,20 000 р.,-,293395,Контактов в час: неограничено.
,,,-,8 000 р.,15 000 р.,302379,
2 000 р.,4 000 р.,9 000 р.,,,,303302,
3 000 р.,6 000 р.,15 000 р.,5 000 р.,8 000 р.,18 000 р.,319964,Контактов в час: до 2.два контакта и минет в презервативе
10 000 р.,20 000 р.,-,20 000 р.,-,,302871,-
30 000 р.,45 000 р.,150 000 р.,30 000 р.,45 000 р.,150 000 р.,255519,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,,,,312782,
15 000 р.,30 000 р.,100 000 р.,40 000 р.,100 000 р.,,264635,"Контактов в час: неограничено.Обратите внимание, что сексуальных услуг не предоставляю! Исключительно встречи по взаимной симпатии! Не дозвонились? - Пишите! После полуночи +5 к каждому часу. Сутки со мной - 200 тыс. Выезд по предоплате!"
2 000 р.,4 000 р.,8 000 р.,,,,318327,Контактов в час: до 2.
5 000 р.,10 000 р.,25 000 р.,6 000 р.,10 000 р.,-,308691,Контактов в час: неограничено.Экспресс - 3000
3 500 р.,-,-,,,,323749,
22 000 р.,44 000 р.,150 000 р.,25 000 р.,45 000 р.,150 000 р.,185170,"Контактов в час: неограничено.Для меня это искусство, а не работа, которым я с наслаждением занимаюсь !!!))) НАПРЯГУ ВАШ ЧЛЕН А НЕ МОЗГ !!!)"
2 000 р.,4 000 р.,-,,,,122717,
8 000 р.,16 000 р.,-,10 000 р.,-,-,281230,
2 000 р.,4 000 р.,10 000 р.,,,,301738,
,,,3 500 р.,5 000 р.,8 000 р.,319009,
10 000 р.,20 000 р.,50 000 р.,,,,316704,
5 000 р.,10 000 р.,25 000 р.,-,11 000 р.,26 000 р.,322768,Контактов в час: неограничено.
3 000 р.,5 000 р.,-,5 000 р.,7 000 р.,-,268171,Контактов в час: неограничено.
3 000 р.,8 000 р.,12 000 р.,5 000 р.,10 000 р.,13 000 р.,294072,Контактов в час: неограничено.
2 000 р.,4 000 р.,-,,,,147682,Контактов в час: до 2.
,,,25 000 р.,60 000 р.,,254949,20 000 р.
5 000 р.,9 000 р.,25 000 р.,6 000 р.,9 000 р.,27 000 р.,320875,Контактов в час: неограничено.Только выезд/ область от 2 часов +такси
2 300 р.,4 600 р.,-,,,,314790,
2 500 р.,4 000 р.,10 000 р.,,,,317171,
5 000 р.,-,30 000 р.,-,15 000 р.,35 000 р.,295429,Контактов в час: до 2.
3 000 р.,6 000 р.,18 000 р.,-,8 000 р.,-,314897,
,,,-,7 000 р.,15 000 р.,269056,Контактов в час: неограничено.
10 000 р.,20 000 р.,60 000 р.,20 000 р.,20 000 р.,60 000 р.,323947,Контактов в час: до 2.Минет без презерватива включён в стоимость
,,,3 500 р.,5 000 р.,8 000 р.,314148,
,,,4 000 р.,6 000 р.,10 000 р.,324644,
8 000 р.,15 000 р.,-,-,-,-,301826,Контактов в час: до 2.Выезд только к знакомым!
3 000 р.,-,-,,,,315625,Контактов в час: до 2.
6 000 р.,10 000 р.,-,6 000 р.,10 000 р.,25 000 р.,229969,Контактов в час: неограничено.*ВЫЕЗД В ПОДМОСКОВЬЕ+ОПЛАТА ЗА ТАКСИ* * МБР ВКЛЮЧЁН* * В связи с блокировками сайтов-сохраняйте мой номер* !!!ЗВОНИТЕ-НА СМС НЕ ОТВЕЧАЮ!!!!
,,,3 500 р.,5 000 р.,8 000 р.,322145,
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,25 000 р.,291431,Контактов в час: до 2.
10 000 р.,20 000 р.,50 000 р.,20 000 р.,50 000 р.,,309305,Контактов в час: до 2.
5 000 р.,10 000 р.,-,-,10 000 р.,-,312483,Контактов в час: до 2.
5 000 р.,10 000 р.,-,10 000 р.,15 000 р.,-,217554,Контактов в час: до 2.Эксаресс программа 3т
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,16 000 р.,323733,
5 000 р.,10 000 р.,30 000 р.,,,,157242,Контактов в час: до 2.
3 000 р.,6 000 р.,-,-,8 000 р.,-,323671,Контактов в час: до 2.
5 000 р.,10 000 р.,20 000 р.,,,,322266,
3 000 р.,6 000 р.,-,,,,324688,Контактов в час: до 2.
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,267879,Контактов в час: неограничено.
,,,14 000 р.,40 000 р.,,319985,"Контактов в час: неограничено.3 часа 20000, 4 часа 25000"
3 000 р.,6 000 р.,25 000 р.,-,10 000 р.,30 000 р.,272896,Контактов в час: до 2.
10 000 р.,20 000 р.,50 000 р.,20 000 р.,50 000 р.,,307226,Контактов в час: до 2.Также хотела указать то что не все указанные услуги входят в сумму узнавайте о них лично или по телефону)
5 000 р.,10 000 р.,20 000 р.,10 000 р.,10 000 р.,20 000 р.,297186,Контактов в час: до 2.При выезде оплата такси приветствуется !
3 000 р.,5 000 р.,15 000 р.,-,5 000 р.,15 000 р.,324465,Контактов в час: до 2.АНТИКРИЗИСНАЯ ЦЕНА В ДЕЙСТВИИ !
-,-,-,-,6 000 р.,13 000 р.,319059,
,,,2 500 р.,5 000 р.,12 000 р.,286235,
8 000 р.,16 000 р.,40 000 р.,-,20 000 р.,40 000 р.,320562,Контактов в час: неограничено.
7 000 р.,14 000 р.,30 000 р.,-,16 000 р.,33 000 р.,319731,"Контактов в час: до 2.К выезду такси с Вас в обе стороны! За МКАД (до 20 км)+2000! Рост указан без каблучков, Вся натуральная! Ни грамма силикона и филлиров нигде!!ЦЕЛУЮСЬ ПО СИМПАТИИ!"
5 000 р.,10 000 р.,25 000 р.,-,15 000 р.,30 000 р.,319820,Контактов в час: неограничено.Выезд строго от 2 часиков + оплата пути с Вас )
2 000 р.,4 000 р.,12 000 р.,4 000 р.,6 000 р.,13 000 р.,312153,
2 500 р.,5 000 р.,15 000 р.,-,6 000 р.,15 000 р.,319770,Контактов в час: неограничено.Экспресса нет!
6 000 р.,12 000 р.,-,,,,113988,
5 000 р.,10 000 р.,30 000 р.,-,15 000 р.,35 000 р.,319232,Контактов в час: неограничено.При выезде +оплата такси...
8 000 р.,15 000 р.,35 000 р.,-,16 000 р.,40 000 р.,324234,Контактов в час: неограничено.
3 000 р.,5 000 р.,10 000 р.,3 000 р.,5 000 р.,10 000 р.,308217,
5 000 р.,10 000 р.,30 000 р.,10 000 р.,10 000 р.,30 000 р.,169352,Есть экспресс..... по договору
5 000 р.,10 000 р.,20 000 р.,-,10 000 р.,20 000 р.,319983,
1 500 р.,3 000 р.,7 000 р.,,,,320418,Контактов в час: до 2.Цены обсуждаются
15 000 р.,30 000 р.,100 000 р.,-,30 000 р.,100 000 р.,325066,Контактов в час: до 2.
3 000 р.,6 000 р.,20 000 р.,,,,279357,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,-,8 000 р.,15 000 р.,177959,Контактов в час: до 2.
1 500 р.,3 000 р.,6 000 р.,,,,320792,
,,,10 000 р.,15 000 р.,40 000 р.,309064,
2 000 р.,4 000 р.,-,,,,316656,
,,,10 000 р.,20 000 р.,45 000 р.,324475,
2 000 р.,4 000 р.,10 000 р.,,,,277939,
2 500 р.,5 000 р.,15 000 р.,,,,316856,
,,,3 000 р.,5 000 р.,8 000 р.,314824,услуги такси оплачиваются отдельно
3 000 р.,6 000 р.,16 000 р.,6 000 р.,8 000 р.,18 000 р.,316393,Контактов в час: до 2.
3 000 р.,5 000 р.,15 000 р.,,,,277074,Контактов в час: до 2.
3 500 р.,7 000 р.,-,,,,293020,Контактов в час: до 2.
,,,10 000 р.,20 000 р.,-,322039,
4 000 р.,8 000 р.,-,,,,297692,Контактов в час: до 2.
4 000 р.,8 000 р.,-,5 000 р.,8 000 р.,30 000 р.,305801,Контактов в час: неограничено.
7 000 р.,14 000 р.,-,-,16 000 р.,-,322779,Контактов в час: 1.
3 000 р.,6 000 р.,15 000 р.,5 000 р.,8 000 р.,20 000 р.,29784,От метро 2 мин дом в прямой видимости
2 500 р.,-,-,,,,293603,
2 500 р.,5 000 р.,15 000 р.,-,6 000 р.,-,322790,
2 000 р.,4 000 р.,10 000 р.,,,,324148,
3 000 р.,6 000 р.,16 000 р.,3 000 р.,6 000 р.,16 000 р.,309696,Контактов в час: неограничено.Время не строго! В моменты страсти минуты и Контакты не считаю!
8 000 р.,16 000 р.,-,-,20 000 р.,-,298064,
2 500 р.,5 000 р.,15 000 р.,-,8 000 р.,20 000 р.,323513,
3 000 р.,6 000 р.,18 000 р.,-,8 000 р.,20 000 р.,312854,
